SIN(s),SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE,CONTRACT END DATE
132-51,Senior Analyst II,Master's Degree,20,Hour,$194.51 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Program Manager,Bachelor’s Degree,10,Hour,$139.65 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Programmer / Developer,Bachelor’s Degree,10,Hour,$119.70 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Project Manager I,Master's Degree,10,Hour,$144.63 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Project Manager II,Master's Degree,15,Hour,$184.53 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Physican Strategist I,Bachelor’s Degree,5,Hour,$89.77 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Physician Strategist II,Bachelor’s Degree,15,Hour,$104.74 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Physician Strategist III,Doctor of Medicine,30,Hour,$139.65 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Physican Adoption /CMIO Support,Doctor of Medicine,20,Hour,$214.46 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Integration Analyst I,Bachelor’s Degree,5,Hour,$124.69 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Integration Analyst II,Bachelor’s Degree,10,Hour,$149.62 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Systems Architect,Bachelor’s Degree,10,Hour,$139.65 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Advisory Consultant,Master's Degree,15,Hour,$149.62 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Activation / Go-Live Services,N/A,N/A,Hour,$69.82 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Solution architect,Bachelor's Degree,10,Hour,$128.37 ,GS-35F-472BA,EVOLVESCAPE INC.,s,IT Schedule 70,customer,2,8/9/14,8/10/19
132-51,Technical Architect,Bachelor's Degree,10,Hour,$121.81 ,GS-35F-472BA,EVOLVESCAPE INC.,s,IT Schedule 70,Customer,2,8/9/14,8/10/19
132-51,IT Business Analyst,Bachelor's Degree,5,Hour,$79.65 ,GS-35F-472BA,EVOLVESCAPE INC.,s,IT Schedule 70,Customer,2,8/9/14,8/10/19
132-51,"Service Engineer, Level 1",2 yr degree,2 yrs,Hour,$91.98 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,"Service Engineer, Level 2",BS,4 yrs,Hour,$107.40 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,"Support Desk Engineer, Level 1",2 yr degree,2 yrs,Hour,$86.50 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,"Support Desk Engineer, Level 2",BS,4 yrs,Hour,$102.43 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,Network Engineer,2 yr degree,4 yrs,Hour,$107.70 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,Network Administrator,BS,6 yrs,Hour,$139.20 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,Cable Technician,HS,4 yrs,Hour,$86.35 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,Project Manager,BS,5 yrs,Hour,$164.45 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,Administrative Specialist,HS,2 yrs,Hour,$77.29 ,GS-35F-491BA,"DIGITAL BOARDWALK, INC.",S,IT Schedule 70,Customer,2,8/23/14,8/24/19
132-51,Administrative Assistant,N/A,3 years,Hour,$30.68 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Computer Specialist,N/A,2 years,Hour,$113.84 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Graphics Designers,N/A,1 year,Hour,$52.26 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Programmer I,N/A,6 years,Hour,$92.26 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Programmer II,N/A,2 years,Hour,$69.87 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Programmer III,N/A,6 years,Hour,$63.91 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Project Manager I,Bachelors,15 years,Hour,$122.59 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Project Manager II,Bachelors,10 years,Hour,$69.87 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,Project Manager III,Bachelors,5 years,Hour,$63.91 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,IT Engineer II,Bachelors,1 year,Hour,$68.51 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,IT Engineer IV,Bachelors,7 years,Hour,$81.04 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,IT Engineer V,Bachelors,9 years,Hour,$89.60 ,GS-35F-497BA,COMMAND TECHNOLOGY INC,S,IT Schedule 70,Customer,2,8/29/14,8/29/19
132-51,IT Project Manager,N/A,N/A,Hour,$154.16 ,GS-35F-496BA,NORTHRAMP LLC,S,IT Schedule 70,Customer,2,8/30/14,8/29/19
132-51,SME 3,N/A,N/A,Hour,$203.94 ,GS-35F-496BA,NORTHRAMP LLC,S,IT Schedule 70,Customer,2,8/30/14,8/29/19
132-51,SME 2,N/A,N/A,Hour,$148.26 ,GS-35F-496BA,NORTHRAMP LLC,S,IT Schedule 70,Customer,2,8/30/14,8/29/19
132-51,SME 1,N/A,N/A,Hour,$128.10 ,GS-35F-496BA,NORTHRAMP LLC,S,IT Schedule 70,Customer,2,8/30/14,8/29/19
132-51,System Analyst 2,N/A,N/A,Hour,$110.33 ,GS-35F-496BA,NORTHRAMP LLC,S,IT Schedule 70,Customer,2,8/30/14,8/29/19
132-51,System Analyst 1,N/A,N/A,Hour,$78.69 ,GS-35F-496BA,NORTHRAMP LLC,S,IT Schedule 70,Customer,2,8/30/14,8/29/19
132-51,Mid-Level Engineering Support,Bachelors,5,Hour,$39.21 ,GS-35F-495BA,"CRWI, LLC",S,IT Schedule 70,Customer,2,8/30/14,8/31/19
132-51,Software Engineer: Level 4,Bachelors,7,Hour,$106.92 ,GS-35F-495BA,"CRWI, LLC",S,IT Schedule 70,Customer,2,8/30/14,8/31/19
132-51,Systems Engineer: Level 4,Bachelors,7,Hour,$152.86 ,GS-35F-495BA,"CRWI, LLC",S,IT Schedule 70,Customer,2,8/30/14,8/31/19
132-51,Systems Engineer: Level 5,Bachelors,11,Hour,$167.43 ,GS-35F-495BA,"CRWI, LLC",S,IT Schedule 70,Customer,2,8/30/14,8/31/19
132-51,Custom Mobile Development,BS,1-3 years,Hour,$176.32 ,GS-35F-501BA,MOOV CORPORATION,s,IT Schedule 70,Customer,2,9/2/14,9/3/19
132-51,Project Manager,Bachelor’s,5 years,Hour,$149.62 ,GS-35F-500BA,"DLS SOFTWARE STUDIOS, INC",S,IT Schedule 70,Both,2,9/5/14,9/4/19
132-51,Software Engineer,Bachelor’s,4 years,Hour,$140.55 ,GS-35F-500BA,"DLS SOFTWARE STUDIOS, INC",S,IT Schedule 70,Both,2,9/5/14,9/4/19
132-51,Quality Assurance Analyst,Bachelor’s,3 years,Hour,$131.49 ,GS-35F-500BA,"DLS SOFTWARE STUDIOS, INC",S,IT Schedule 70,Both,2,9/5/14,9/4/19
132-51,Web Designer,Bachelor’s,3 years,Hour,$131.49 ,GS-35F-500BA,"DLS SOFTWARE STUDIOS, INC",S,IT Schedule 70,Both,2,9/5/14,9/4/19
132-51,Consultant,Bachelors,18 years,Hour,$49.87 ,GS-35F-498BA,"DIGITAL CAPSTONE, INC.",S,IT Schedule 70,Customer,2,9/10/14,9/9/19
132-51,Project Manager,Bachelors,20 years,Hour,$49.87 ,GS-35F-498BA,"DIGITAL CAPSTONE, INC.",S,IT Schedule 70,Customer,2,9/10/14,9/9/19
132-51,Architect,N/A,5 years,Hour,$94.08 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Data
Modeler",Bachelor's,4 years,Hour,$84.81 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Database
Architect",Bachelor's,4 years,Hour,$81.00 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Database
Management
Specialist",Bachelor's,4 years,Hour,$81.00 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,Help Desk Manager,Bachelor's,7 years,Hour,$93.80 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,Help Desk Specialist,Bachelor's,3 years,Hour,$74.06 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Mid-Level
Application
Developer",Bachelor's,3 years,Hour,$72.34 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Program
Manager",Bachelor's,7 years,Hour,$96.15 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,Programmer,Bachelor's,3 years,Hour,$69.10 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Project
Manager",Bachelor's,7 years,Hour,$87.81 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Quality
Assurance
Manager",N/A,8 years,Hour,$81.90 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Security
Consultant",N/A,10 years,Hour,$96.99 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Security
Specialist",N/A,5 years,Hour,$78.44 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Security
Strategist",N/A,10 years,Hour,$87.02 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Analyst",Bachelor's,8 years,Hour,$104.77 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Architect",Bachelor's,5 years,Hour,$98.49 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Business
Analyst I",Bachelor's,8 years,Hour,$73.54 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Business
Analyst II",Bachelor's,25 years,Hour,$78.62 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Business
Analyst III",Bachelor's,25 years,Hour,$84.86 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Business
Consultant/
Analyst",Bachelor's,25 years,Hour,$92.82 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Programmer",Bachelor's,8 years,Hour,$79.46 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Quality
Assurance
Specialist","Carries industry
certifications, such as
ASQ, JAVA Certified
Programmer, RUP
Certified, UML
Certified, MCSE,
MCSD, and others",10 years,Hour,$81.90 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Senior
Security
Architect",N/A,10 years,Hour,$87.02 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,Senior Application Development Specialist,Bachelor's,10 years,Hour,$91.66 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,Senior Software Engineer,Bachelor's,5 years,Hour,$82.00 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,Senior Technical Writer,Bachelor's,6 years,Hour,$94.12 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Software
Engineer",N/A,5 years,Hour,$74.73 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Systems
Analyst",Bachelor's,5 years,Hour,$78.62 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Technical
Writer",Bachelor's,3 years,Hour,$62.45 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Usability
Engineer",Bachelor's,4 years,Hour,$77.32 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"User
Interface",Bachelor's,5 years,Hour,$74.56 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,"Web
Developer",N/A,6 years,Hour,$81.90 ,GS-35F-523BA,FLEXION INC.,S,IT Schedule 70,Customer,2,9/17/14,9/16/19
132-51,Call Center Trainer,Bachelor's,6 Years,Hour,$74.06 ,GS-35F-539BA,ANCHOR SYSTEMS CORPORATION,S,IT Schedule 70,Customer,2,9/30/14,9/30/19
132-51,Call Center SME - IT Infrastructure,Bachelor's,3 Years,Hour,$69.12 ,GS-35F-539BA,ANCHOR SYSTEMS CORPORATION,S,IT Schedule 70,Customer,2,9/30/14,9/30/19
132-51,Call Center Project Manager,Bachelor's,7 Years,Hour,$83.93 ,GS-35F-539BA,ANCHOR SYSTEMS CORPORATION,S,IT Schedule 70,Customer,2,9/30/14,9/30/19
132-51,Senior IT Expert/Architect,"Bachelors degree in science, Information Technology (IT) field, or business.",15,Hour,$231.04 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Senior Project Manager,"Bachelors degree in science, Information Technology (IT) field, or business.",10,Hour,$156.59 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Project Manager,"Bachelors degree in science, Information Technology (IT) field, or business.",5,Hour,$130.48 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Senior IT Consultant,"Bachelors degree in physical science, social science, IT-specific field, or business.",7,Hour,$169.51 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,IT Consultant III,Bachelors degree in IT-specific field. May substitute 3 years of experience if Bachelors degree is in an unrelated field.,5,Hour,$141.26 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,IT Consultant II,"Bachelors degree in IT-specific field. May substitute two years of experience, if Bachelors degree is in an unrelated field.",3,Hour,$119.71 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,IT Consultant I,"Bachelors degree in IT-specific field. May substitute 1 year of experience, if Bachelors degree is in an unrelated field.",1,Hour,$104.84 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Senior Software Engineer/Designer,"Bachelors degree in IT-specific field. May substitute 4 years of experience, if Bachelors degree is in an unrelated field.",5,Hour,$127.51 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Software Engineer/Designer,"Bachelors degree in IT-specific field. May substitute 2 years of experience, if Bachelors degree is in an unrelated field.",1,Hour,$105.97 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Management Analyst,Bachelor's degree. May substitute with 1 year of experience and an Associates degree.,1,Hour,$99.75 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Quality Assurance Specialist,Bachelor's degree. May substitute with 1 year of experience and an Associates degree.,1,Hour,$112.84 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,IT Support Specialist,Bachelor's degree in science or IT field. May substitute with 1 year of experience and an Associates degree.,1,Hour,$87.37 ,GS-35F-013CA,"FEDERAL MANAGEMENT PARTNERS, INCORPORATED",O,IT Schedule 70,Customer,2,10/1/14,10/2/19
132-51,Program Manager,Bachelors,15,Hour,$256.79 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Technical Subject Matter Expert - Level 4,Bachelors,20,Hour,$318.52 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Technical Subject Matter Expert - Level 3,Bachelors,18,Hour,$272.11 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Technical Subject Matter Expert - Level 2,Bachelors,15,Hour,$225.96 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Technical Subject Matter Expert - Level 1,Bachelors,12,Hour,$154.41 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Senior IT Consultant - Level 2,Bachelors,6,Hour,$114.39 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Senior IT Consultant - Level 1,Bachelors,4,Hour,$105.89 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,IT Consultant,Associates,4,Hour,$97.82 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,IT Analyst,Associates,2,Hour,$93.37 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Junior IT Consultant,High School,2,Hour,$75.29 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,Junior IT Analyst,High School,0,Hour,$57.34 ,GS-35F-022CA,"INTEGRITY MANAGEMENT CONSULTING, INC",S,IT Schedule 70,Customer,2,10/18/14,10/19/19
132-51,"Analyst, Computer Software/Integration (Senior)",BA/BS,8,Hour,$99.75 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,"Analyst, Computer Systems (Junior)",BA/BS,3,Hour,$84.79 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,"Application Developer, Advanced Technology",BA/BS,2,Hour,$97.36 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Applications Development Expert,BA/BS,7,Hour,$172.81 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,"Architect, Information Technology (Senior)",BA/BS,10,Hour,$193.76 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,IT Professional (Senior),BA/BS,8,Hour,$197.00 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Program Manager,BA/BS,12,Hour,$157.10 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Project Manager,BA/BS,5,Hour,$143.64 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Quality Assurance Consultant (Senior),BA/BS,8,Hour,$157.10 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Quality Assurance Specialist,BA/BS,5,Hour,$64.84 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Quality Assurance Lead,BA/BS,6,Hour,$92.77 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Business Analyst (Senior),BA/BS,8,Hour,$157.10 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,Business Analyst (Junior),BA/BS,3,Hour,$83.38 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,"Analyst, Computer Systems (Senior)",BA/BS,8,Hour,$102.74 ,GS-35F-055CA,BUSINESS SOLUTIONS GROUP INC,s,IT Schedule 70,Customer,2,10/29/14,10/30/19
132-51,IT Consultant Executive,Bachelors,20,Hour,$152.13 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Senior Level III,Bachelors,16,Hour,$148.65 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Senior Level II,Bachelors,14,Hour,$143.51 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Senior Level I,Bachelors,12,Hour,$138.08 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Journeyman Level IV,Bachelors,10,Hour,$129.11 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Journeyman Level III,Bachelors,8,Hour,$118.24 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Journeyman level II,Bachelors,6,Hour,$107.86 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Journeyman Level I,Bachelors,4,Hour,$100.79 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Entry Level II,Bachelors,2,Hour,$75.00 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,IT Consultant Entry Level I,Bachelors,0,Hour,$66.96 ,GS-35F-064CA,INTEGRATEIT LLC,s,IT Schedule 70,Both,2,11/8/14,11/9/19
132-51,Field Engineer,N/A,N/A,Hour,$77.38 ,GS-35F-081CA,"VITEC Solutions, LLC (VITEC)",S,IT Schedule 70,Customer,2,11/24/14,11/23/19
132-51,Helpdesk Engineer,N/A,N/A,Hour,$68.77 ,GS-35F-081CA,"VITEC Solutions, LLC (VITEC)",S,IT Schedule 70,Customer,2,11/24/14,11/23/19
132-51,Systems Engineer,N/A,N/A,Hour,$140.55 ,GS-35F-081CA,"VITEC Solutions, LLC (VITEC)",S,IT Schedule 70,Customer,2,11/24/14,11/23/19
132-51,Field Engineer Supervisor,N/A,N/A,Hour,$92.70 ,GS-35F-081CA,"VITEC Solutions, LLC (VITEC)",S,IT Schedule 70,Customer,2,11/24/14,11/23/19
132-51,Operations Manager,N/A,N/A,Hour,$109.57 ,GS-35F-081CA,"VITEC Solutions, LLC (VITEC)",S,IT Schedule 70,Customer,2,11/24/14,11/23/19
132-51,Director of Professional Svcs.,N/A,N/A,Hour,$154.16 ,GS-35F-081CA,"VITEC Solutions, LLC (VITEC)",S,IT Schedule 70,Customer,2,11/24/14,11/23/19
132-51,Program Manager (Contractor Site),Bachelors,8,Hour,$185.00 ,GS-35F-083CA,"SOLLERTIS, INCORPORATED",S,IT Schedule 70,Customer,2,11/25/14,11/24/19
132-51,Program Manager (Government Site),Bachelors,8,Hour,$150.00 ,GS-35F-083CA,"SOLLERTIS, INCORPORATED",S,IT Schedule 70,Customer,2,11/26/14,11/24/19
132-51,Technical Consultant IB (Contractor Site),Bachelors,12,Hour,$220.00 ,GS-35F-083CA,"SOLLERTIS, INCORPORATED",S,IT Schedule 70,Customer,2,11/27/14,11/24/19
